project_id,tag,Reasoning,title,description,project_url,operating_unit,budget,expense,budget_breakdown,our_focus,signature_solutions,sdg,sdg_names,focus_area,focus_area_descr,markers,start_date,end_date
01000566,focused,The project involves the development of a multi-hazard early warning system that includes flood management as part of its scope.,Multi-hazard Early Warning System,"The overall purpose of the proposal is to respond to the Governments need for a technical assistance in preparation for and development of a viable and large-scale intervention on creation of multi-hazard early warning system (MHEWS). The MHEWS will integrate risks from natural disasters and climate change induced risks, including droughts, sand and salty dust storms, floods, mudslides, gusty winds, heatwaves, extreme cold and ice phenomena, among others to inform the population and key sectors of national economy for timely prevention, adaptation and decision-making process.",https://open.undp.org/projects/01000566,Turkmenistan,147000.0,126390.0,"Budget by year: 2023: $147,000.00. SDG 13 (Climate action) budget: 2023: $147,000.00. ",,,13,Climate action,23,Building resilience,Climate: Policies and Enabling Environment; Digital: No digital technology utilized; OECD DAC Sector: 740 - Disaster Prevention & Preparedness,2023-04-24,2024-12-30
01000489,none,"The project focuses on supporting dialogues between the Government of Colombia and the ELN, with no mention of water-related issues or activities.",Fondo de Apoyo a diálogos entre el Gobierno de Colombia y el ELN,"La Mesa de Conversaciones y el Grupo de Países de Apoyo, Acompañamiento y Cooperación a la Mesa de Conversaciones (GPAAC), conformado por Alemania, Italia, Países Bajos, Suecia y Suiza, establecen un Fondo de Financiación para la Mesa de Conversaciones del Gobierno Nacional de Colombia y el ELN. El objetivo del Fondo financiar, de manera transparente y flexible, los gastos relacionados con el desarrollo de la Mesa de Diálogos, especialmente los gastos relacionados con la Delegación del ELN. Por decisión conjunta de la Mesa de Conversaciones y el GPAAC, el PPNUDfuncionará como Administrador del Fondo.",https://open.undp.org/projects/01000489,Colombia,1224313.0,555218.0,"Budget by year: 2025: $0.00; 2024: $943,915.00; 2023: $280,398.00. SDG 16 (Peace, justice, and strong institutions) budget: 2023: $280,398.00; 2024: $943,915.00; 2025: $0.00. ",,,16,"Peace, justice, and strong institutions",21,"Structural transformation, including green, inclusive and digital transitions","Hows: Capacity Development / Technical Assistance; Whos: Persons negatively affected by armed conflict or violence; Digital: Output partially enabled through digital technology; Human Rights: Significant contribution to realization of human rights; Sustaining Peace: Sustaining peace is a significant objective; OECD DAC Sector: 152 - Conflict, Peace & Security",2023-05-01,2025-01-31
01001645,none,This project is focused on disseminating the results of Brazil's 13th Demographic Census and strengthening the role of IBGE in public policy. It does not mention any water-related aspects or objectives.,BRA/23/023 - O Brasil na terceira década do século XXI: a disseminação dos resultados do 13° Censo Demográfico do País,"O projeto tem por objetivo geral a difusão do conhecimento gerado pelo Censo Demográfico de 2022, permitindo a interação de saberes com a finalidade de oferecer mais e melhores subsídios para as políticas públicas no país. Para possibilitar o alcance do resultado geral, o projeto foi estruturado em 4 eixos conforme a seguir:1.	Plano de fomento a disseminação do conjunto de informações estatísticas e geográficas produzidas pelo Censo Demográfico elaborado e pilotado, bem como as inovações metodológicas e conceituais reveladoras do Brasil no início da terceira década do século XXI. 2.	Estratégia de fortalecimento do papel do IBGE como parte fundamental do Sistema Nacional de Estatística e Geografia desenvolvida, contribuindo para subsidiar as agendas de políticas públicas.3.	Metodologia de fortalecimento de espaços de diálogos com parceiros nacionais e internacionais estruturada, em agendas temáticas selecionadas, em parceria com instituições relevantes para as agendas do IBGE e/ou os grupos de trabalho definidos.4.	Gestão eficiente e gestão de conhecimento do projeto realizadas.",https://open.undp.org/projects/01001645,Brazil,5097717.0,99601.0,"Budget by year: 2025: $2,931,693.00; 2024: $2,123,428.00; 2023: $42,596.00. SDG 17 (Partnerships for the goals) budget: 2023: $42,596.00; 2024: $2,123,428.00; 2025: $2,931,693.00. ",,,17,Partnerships for the goals,21,"Structural transformation, including green, inclusive and digital transitions",Digital: Output significantly enabled through digital technology; OECD DAC Sector: 150 - Government & Civil Society,2023-12-11,2027-12-31
01001186,none,The project is focused on the development of a hydrogen energy industry talent development center and related education and training systems. It does not mention any aspects related to water management or the water part of the ecosystem.,UNDP-Changshu Hydrogen Industry Workforce Development Institute Project,"The project will be committed to supporting Changshu High-tech Industrial Development Zone to establish a hydrogen energy industry talent development center, create a set of replicable hydrogen energy vocational and technical education and training system solutions, and promote the development of hydrogen energy and fuel cell industry in Changshu and the Yangtze River Delta region under the background of carbon peak, carbon neutral , to make a good use of its important role in transforming high-emission industries such as energy, industry and transportation.",https://open.undp.org/projects/01001186,China,743591.0,266458.0,"Budget by year: 2025: $416,058.00; 2024: $0.00; 2023: $327,533.00. SDG 7 (Affordable and clean energy) budget: 2023: $327,533.00; 2024: $0.00; 2025: $416,058.00. ",,,7,Affordable and clean energy,21,"Structural transformation, including green, inclusive and digital transitions","Hows: Capacity Development / Technical Assistance; Partner: Donor government; Whos: People living in urban areas; COVID-19 Response: Green economy; Climate: Mitigation Action, Policies and Enabling Environment; Digital: Output partially enabled through digital technology; Innovation: Other; OECD DAC Sector: 230 - Energy",2023-10-01,2026-12-31
01001324,none,"The project focuses on biodiversity conservation, sustainable development, and the establishment of green economy activities, with no mention of water-related aspects.",NIG-Biodiversity Conservation and SD,"The goal of the project which aligns with Nigeria’s National Development Plan (NDP) (2021-2025); is to reduce poverty and contribute to sustainable development and biodiversity in Omo Biosphere Reserve, Oban Biosphere Reserve in Nigeria, and Shere Hills Reserve through the establishment of green economy activities, with a focus on youth and women entrepreneurship.",https://open.undp.org/projects/01001324,Spcl Unit for South South Coop,1259787.0,171979.0,"Budget by year: 2025: $0.00; 2024: $621,273.00; 2023: $638,514.00. ",,,,,,,Climate: Mitigation Action; Digital: No digital technology utilized,2023-01-01,2025-10-31
01000905,none,"The project is focused on supporting national programme planning and development, capacity building, and strategic policy development related to the SDGs and human development. There is no mention of water-related activities or infrastructure.",Support to the National Programme Planning and Development Process in the context of SDG and LNOB (CPD),"The project aims to support the government of the Democratic Republic of São Tomé and Príncipe, especially focusing on enhancing the capacity of key government departments and officials, such as the Planning Director of the Minister of Planning, Finance and the Blue Economy , the External Policy Directorate of Ministry of Foreign Afaairs as well as INE, specialized commissions of the Parliament and other audit and budget oversight Institutions. It seeks to facilitate strategic policy development, dialogue with stakeholders, and participatory planning to integrate the SDGs and human development perspective leaving no way behind into national plans, policies, and strategies and ensure their effective implementation and monitoring",https://open.undp.org/projects/01000905,Sao Tome and Principe,914427.0,679459.0,"Budget by year: 2025: $91,518.00; 2024: $501,732.00; 2023: $321,177.00. SDG 5 (Gender equality) budget: 2023: $160,588.50; 2024: $250,866.00; 2025: $45,759.00. SDG 17 (Partnerships for the goals) budget: 2023: $160,588.50; 2024: $250,866.00; 2025: $45,759.00. ",,,"5, 17","Gender equality, Partnerships for the goals",23,Building resilience,"COVID-19 Response: Governance; Digital: No digital technology utilized, Output partially enabled through digital technology, Output significantly enabled through digital technology; OECD DAC Sector: 150 - Government & Civil Society, 998 - Unallocated / Unspecified",2023-01-01,2027-12-31
01001028,none,The project is focused on improving energy efficiency and does not mention any water-related aspects.,Improving Energy Efficiency Prep Phase,"The project envisages Development of a complete project document with all accompanying materials that outlines concrete, result-oriented activities of all stakeholders, takes account of national circumstances and responds to the needs in an effective manner while remaining consistent in terms of common outputs and outcomes, and ensures alignment across the board on the project log-frame.",https://open.undp.org/projects/01001028,Ukraine,21646.0,21581.0,"Budget by year: 2024: $0.00; 2023: $21,646.00. SDG 12 (Responsible consumption and production) budget: 2023: $21,646.00; 2024: $0.00. ",,,12,Responsible consumption and production,21,"Structural transformation, including green, inclusive and digital transitions","Hows: Capacity Development / Technical Assistance, Data Collection and Analysis, Policy Advice; Partner: National government, Private sector; Whos: People living in peri-urban areas, People living in urban areas; OECD DAC Sector: 320 - Industry, Mining, Construction",2023-04-01,2023-12-31
00132366,none,The project description focuses on wildlife conservation without any mention of water or water management elements.,FSPWildlife Conservation,FSPWildlife Conservation,https://open.undp.org/projects/00132366,China,2363094.0,1080726.0,"Budget by year: 2025: $1,034,699.00; 2024: $1,207,835.00; 2023: $120,560.00. SDG 13 (Climate action) budget: 2023: $40,194.70; 2024: $402,692.19; 2025: $344,968.65. SDG 15 (Life on Land) budget: 2023: $80,365.30; 2024: $805,142.81; 2025: $689,730.35. ",,,"13, 15","Climate action, Life on Land",17,Eradicate poverty in all its forms and dimensions,"Hows: Capacity Development / Technical Assistance, Innovative Approaches, Institutional Mechanism and System Building, Policy Advice; Humanitarian: Appeal; Joint Programme: Joint Activity; Partner: National government, Sub-national government; Whos: People living in peri-urban areas, People living in rural areas; COVID-19 Response: Governance; Climate: Mitigation Action; Digital: No digital technology utilized; Human Rights: Significant contribution to realization of human rights; OECD DAC Sector: 410 - General Environment Protection",2023-03-01,2028-10-10
01000278,none,"The project primarily focuses on social protection, socioeconomic empowerment, social inclusion, and social cohesion. There is no mention of water-related topics such as water supply, sanitation facilities, water resource management, or any infrastructure related to water.","Social Protection, Inclusion and Empowerment","The project aims to enhance the resilience of the most vulnerable populations in Syria through the revitalization of financial, human, and social capital, thus fostering participation in recovery and peacebuilding processes.It leverages three interrelated streams:1- Social Protection and Inclusive Socioeconomic Empowerment: Aims to revitalize financial and human capital through financial aid, healthcare, economic empowerment, and skill development, with particular attention to women, persons with disabilities, and youth.2- Social Inclusion: Addresses inequalities by promoting human rights, inclusive policies, and practices focusing on women, youth and persons with disabilities.3- Social Cohesion: Strengthens trust within communities (horizontal dimension) and between society and institutions (vertical dimension). It includes creating platforms and forums for dialogue, community centers, and fostering values like diversity and empathy.",https://open.undp.org/projects/01000278,Syria,8450570.0,3216171.0,"Budget by year: 2025: $2,466,946.00; 2024: $3,004,044.00; 2023: $2,979,580.00. SDG 1 (No poverty) budget: 2023: $2,979,580.00; 2024: $3,004,044.00; 2025: $2,466,946.00. ",,,1,No poverty,22,Leaving no one behind,"Digital: No digital technology utilized, Output partially enabled through digital technology; OECD DAC Sector: 160 - Other Social Infrastructure & Services",2023-01-01,2025-12-31
01000640,none,"The project is centered around implementing preventive and protective measures to ensure the safety, security, and integrity of people involved in the Jurisdicción Especial para la Paz – JEP, without any mention of water, water-related infrastructure, or water management.","Facilitar la implementación de medidas de prevención y protección complementarias con el fin de garantizar la vida, libertad, seguridad e integridad de las personas, grupos y comunidades","Facilitar la implementación de medidas de prevención y protección complementarias con el fin de garantizar la vida, libertad, seguridad e integridad de las personas, grupos y comunidades; que por su participación en cualquiera de los procesos de interés de la Jurisdicción Especial para la Paz – JEP se encuentren en situación de riesgo.",https://open.undp.org/projects/01000640,Colombia,1659424.0,1280229.0,"Budget by year: 2025: $256,790.00; 2024: $1,035,128.00; 2023: $367,506.00. SDG 16 (Peace, justice, and strong institutions) budget: 2023: $367,506.00; 2024: $1,035,128.00; 2025: $256,790.00. ",,,16,"Peace, justice, and strong institutions",21,"Structural transformation, including green, inclusive and digital transitions","Digital: Output significantly enabled through digital technology; OECD DAC Sector: 152 - Conflict, Peace & Security",2023-06-15,2025-03-31
01001137,related,"This project primarily focuses on addressing food insecurity and empowering women through large-scale farming. Though it mentions droughts, the focus is not directly on water management or water resources.","Karamoja Greenbelt's Women Led Large Scale Farming  of Cereals, Legumes and Oilseed","This project seeks to respond to chronic food insecurity in the Karamoja region, which is a result of combined pressures, including environmental degradation and climate change. Most people in Karamoja are facing food shortages, either year-long or seasonal, and the region has been exposed to increasing droughts. The project will also empower the women of Karamoja through large scale commercial farming of staple cereals (Sorghum/Bulrush millet and Maize) as well as Oilseed and Legumes (Sunflower, Tepary White Beans, Soybeans and Pigeon Peas/Black eyed peas).",https://open.undp.org/projects/01001137,Uganda,1070000.0,763942.0,"Budget by year: 2025: $0.00; 2024: $688,000.00; 2023: $382,000.00. SDG 1 (No poverty) budget: 2023: $127,358.80; 2024: $229,379.20; 2025: $0.00. SDG 12 (Responsible consumption and production) budget: 2023: $127,320.60; 2024: $229,310.40; 2025: $0.00. SDG 2 (Zero hunger) budget: 2023: $127,320.60; 2024: $229,310.40; 2025: $0.00. ",,,"1, 12, 2","No poverty, Responsible consumption and production, Zero hunger",21,"Structural transformation, including green, inclusive and digital transitions","Hows: Capacity Development / Technical Assistance, Support Functions; South-South and Triangular Cooperation: Capacity builder; Partner: Donor government; Whos: People living in multi-dimensional poverty, People living under the national poverty line; Climate: Adaptation Action; Digital: No digital technology utilized; Human Rights: Significant contribution to realization of human rights; Sustaining Peace: Sustaining peace is a significant objective; Innovation: Behavioral insights; OECD DAC Sector: 310 - Agriculture, Forestry, Fishing",2023-08-09,2025-01-31
01001158,none,"This project focuses on social protection and poverty reduction through the development of a national Multidimensional Poverty Index, and it does not mention anything related to water management or water-related infrastructure.",PIP-Social Protection Support Project,"The project initiation plan (PIP) aims to support the capacity of the Ministry of Labour and Social Affairs (MOLSA) to lead and coordinate with other federal ministries, the process of developing and applying the national Multidimensional Poverty Index (MPI) to poverty reduction.",https://open.undp.org/projects/01001158,Somalia,725220.0,558380.0,"Budget by year: 2025: $0.00; 2024: $469,767.00; 2023: $255,453.00. ",,,,,22,Leaving no one behind,"Hows: Capacity Development / Technical Assistance, Convening / Partnerships / Knowledge Sharing, Policy Advice; South-South and Triangular Cooperation: Capacity builder; Joint Programme: Pooled Funding; Whos: People living in multi-dimensional poverty; Digital: Output partially enabled through digital technology; OECD DAC Sector: 160 - Other Social Infrastructure & Services",2023-09-01,2025-06-30
01000290,none,"This project focuses on strengthening the telecommunications infrastructure in Honduras, with no mention of water-related activities or infrastructure.",Apoyo Fortalecimiento Infraestructura HONDUTEL,"Fortalecer las capacidades de atención en materia de telecomunicaciones del Gobierno de Honduras, a través de HONDUTEL con la ampliación de la red, mediante la ampliación de la capacidad de Internet, obtención de equipo para el aseguramiento de los ingresos de la Telefonía fija y móvil así como también captar nuevos clientes y generar nuevos ingresos de clientes corporativos y residenciales.En ese sentido, los pllares y acciones que deben estar incluidas como EJES indexados dentro del plan de desarrollo de banda ancha, estan conformada por los siguientes niveles de desarrollo:•	Desarrollo de las POLITICAS PUBLICAS conformada especialmente por sus respectivos planes y estrategias de banda ancha a corto y mediano plazo•	Desarrollo de una nueva regulacion estrategica de CONATEL basada en un MARCO REGULATORIO vinculante a banda ancha.•	Despliegue de INFRAESTRUCTURAS RESILIENTES con objetivos financieros plausibles basado en un apalancamiento sustentable de Inversion publica que apoye los planes operatives de la e",https://open.undp.org/projects/01000290,Honduras,47953620.0,473804.0,"Budget by year: 2025: $44,469,877.00; 2024: $1,997,058.00; 2023: $1,486,685.00. SDG 5 (Gender equality) budget: 2023: $743,342.50; 2024: $998,529.00; 2025: $22,234,938.50. SDG 9 (Industry, innovation and infrastructure) budget: 2023: $743,342.50; 2024: $998,529.00; 2025: $22,234,938.50. ",,,"5, 9","Gender equality, Industry, innovation and infrastructure",22,Leaving no one behind,"Hows: Capacity Development / Technical Assistance; Partner: National government; Whos: People living in peri-urban areas; Digital: No digital technology utilized, Output partially enabled through digital technology, Output significantly enabled through digital technology; Human Rights: Limited contribution to realization of human rights, Significant contribution to realization of human rights; Sustaining Peace: Not expected to contribute towards sustaining peace; OECD DAC Sector: 220 - Communications",2023-02-17,2025-12-31
01001118,none,"The project focuses on extending access and coverage in maternal and child health, specifically targeting dispersed rural areas, indigenous communities, and border areas. There is no mention of water-related aspects.",Paraguay-Maternal & Child Health,"Extension of Access and Coverage in Maternal and Child Health to Dispersed Rural Areas, Indigenous Communities and Border Areas of the Paraguayan Chaco, the “Activities”",https://open.undp.org/projects/01001118,Spcl Unit for South South Coop,1470886.0,545474.0,"Budget by year: 2024: $803,201.00; 2023: $667,685.00. ",,,,,,,,2023-01-01,2024-12-31
01000376,none,"The project focuses on agriculture, food security, and climate change adaptation in Bhutan without any direct mention of water resources or water management.",PIP- Promoting technologically enabled agriculture for the vulnerable farming population in Bhutan (Agriculture and Food Security in Bhutan,"The project aims to build adaptive capacity of the farming population to adapt to the impact of climate change. It supports the farming population to adopt technologies and innovative solutions which are not only efficient in production but also nature positive and low carbon. Further, it promotes green agribusiness, post-harvest technologies and resilient marketing facilities.",https://open.undp.org/projects/01000376,Bhutan,1804752.0,1542246.0,"Budget by year: 2024: $323,335.00; 2023: $1,481,417.00. ",,,,,21,"Structural transformation, including green, inclusive and digital transitions","COVID-19 Response: Green economy; Digital: No digital technology utilized, Output partially enabled through digital technology, Output significantly enabled through digital technology; OECD DAC Sector: 140 - Water Supply & Sanitation, 150 - Government & Civil Society, 310 - Agriculture, Forestry, Fishing",2023-03-14,2024-09-30
01001478,none,"This project aims to support the governance and institutional strengthening of the Office of the President in Montenegro, with no specific mention or focus on water-related elements.",Support to National State Governance,"The overall is to support innovative initiatives in strengthening the Office of the President to an institutionalized professional organization with structures and functions appropriate to the Head of State. The Engagement Facility 2023-2027 will be implemented under the Direct Implementation Modality (DIM), through am agreed set of initiatives agreed by the Office of the President of Montenegro and UNDP and in line with the committed strategic priorities in the UNDP’s Country Programme for 2023-2027.",https://open.undp.org/projects/01001478,Montenegro,238608.0,155421.0,"Budget by year: 2025: $13,500.00; 2024: $165,095.00; 2023: $60,013.00. SDG 16 (Peace, justice, and strong institutions) budget: 2023: $60,013.00; 2024: $165,095.00; 2025: $13,500.00. ",,,16,"Peace, justice, and strong institutions",,,Digital: Output partially enabled through digital technology; OECD DAC Sector: 150 - Government & Civil Society,2023-11-01,2027-12-31
01000254,none,"This project is focused on managing biodiversity and environmental risks related to a salvage operation in the Red Sea, with no specific mention of water management or water-related issues.",Safer Salvage Operation FSP,Managing Biodiversity and Environmental Risks Associated with the Safer Salvage Operation in the Red Sea,https://open.undp.org/projects/01000254,Yemen,4016210.0,4011510.0,"Budget by year: 2024: $25,000.00; 2023: $3,991,210.00. SDG 13 (Climate action) budget: 2023: $3,991,210.00; 2024: $25,000.00. ",,,13,Climate action,23,Building resilience,Digital: No digital technology utilized; OECD DAC Sector: 740 - Disaster Prevention & Preparedness,2023-02-14,2024-12-31
01000238,none,"The project focuses on early recovery and peace building in conflict-affected communities, with emphasis on livelihood improvement, basic services restoration, local governance, and social cohesion. There is no specific mention of water-related aspects.",EARLY RECOVERY:JSB-2023-UNDP-NE,"The project aims to support early recovery and peace building in the conflict-affected communities in the north-east Nigeria. Building on the lessons and successful results of the former UNDP projects in the region, the supports to the communities will be provided using UNDP integrated community stabilization and resilience building approach for the proposed four outputs as follows: (1) Livelihood and economic opportunities of the target communities are improved, (2) Basic services are restored in target communities, (3) Effective and accountable local governance is emerging in target states, (4) Social cohesion rebuilt and community security re-established",https://open.undp.org/projects/01000238,Nigeria,2861508.0,2768989.0,"Budget by year: 2025: $1,939.00; 2024: $1,506,921.00; 2023: $1,352,648.00. SDG 8 (Decent work and economic growth) budget: 2023: $169,081.00; 2024: $188,365.12; 2025: $242.38. SDG 5 (Gender equality) budget: 2023: $338,162.00; 2024: $376,730.25; 2025: $484.75. SDG 3 (Good health and well-being) budget: 2023: $169,081.00; 2024: $188,365.12; 2025: $242.38. SDG 1 (No poverty) budget: 2023: $338,162.00; 2024: $376,730.25; 2025: $484.75. SDG 16 (Peace, justice, and strong institutions) budget: 2023: $169,081.00; 2024: $188,365.12; 2025: $242.38. SDG 4 (Quality education) budget: 2023: $169,081.00; 2024: $188,365.12; 2025: $242.38. ",,,"8, 5, 3, 1, 16, 4","Decent work and economic growth, Gender equality, Good health and well-being, No poverty, Peace, justice, and strong institutions, Quality education",23,Building resilience,"Humanitarian: Appeal; Joint Programme: Joint Activity; Digital: No digital technology utilized, Output partially enabled through digital technology; OECD DAC Sector: 160 - Other Social Infrastructure & Services",2023-03-21,2025-03-31
01001610,none,"The project description focuses on rehabilitating a High School Teachers Training Center and does not mention any water-related aspects such as water supply, sanitation, or flood management.",Palau-Rehab of High School Center,"The proposed project seeks to rehabilitate a High School Teachers Training Center in Palau. IOM will work in close coordination with the with the Ministry of Education (MoE) and the Bureau of Public Works to renovate the center. Renovations will address the risks posed by natural hazards, capacity constraints within the local construction industry, needs of center users, maintenance issues, and anticipated damages in the years ahead, to ensure both shortterm enhancements and that long-term sustainable solutions are provided.",https://open.undp.org/projects/01001610,Spcl Unit for South South Coop,1023852.0,146621.0,"Budget by year: 2025: $375,274.00; 2024: $648,572.00; 2023: $6.00. ",,,,,,,,2023-01-01,2025-05-31
01000970,focused,"This project is directly addressing integrated water resources management, including the governance, planning, and sustainable use of the Incomati and Maputo River basins.",Integrated Transboundary Water Resources Management in the Incomati-Maputo River Basins,"The objective of the GEF PPG is to develop the project concept into a full project: “Strengthening integrated transboundary management of the Incomati and Maputo River basins. As described in the PIF, this project aims to promote integrated source-to-sea management of the Incomati and Maputo River basins and coastal zones to ensure environmental security and inclusive livelihoods. It has five components: Strengthening regional governance frameworks for transboundary basin management, including the application of a source-to-sea management approach; facilitating a knowledge-based approach for source-to-sea management; supporting basin-wide and coastal zone strategic planning and investment mobilisation; creating sustainable livelihoods through enhancing water, food, energy and environmental security; and knowledge generation, communication, and dissemination.",https://open.undp.org/projects/01000970,Eswatini,225350.0,175250.0,"Budget by year: 2024: $78,950.00; 2023: $146,400.00. SDG 15 (Life on Land) budget: 2023: $146,400.00; 2024: $78,950.00. ",,,15,Life on Land,21,"Structural transformation, including green, inclusive and digital transitions",Digital: Output partially enabled through digital technology; OECD DAC Sector: 410 - General Environment Protection,2023-07-06,2024-12-31
01001600,none,"The project focuses on enhancing strategic direction, coordination, and peacebuilding efforts in Bosnia and Herzegovina with no mention of water elements or water-focused activities.","Support to a PBF Secretariat in Bosnia and Herzegovina to enhance strategic direction, coordination, and peacebuilding impact","The main objective of the project is to strengthen the coordination of PBF efforts in the country by a) setting up the PBF Secretariat within the UN Resident Coordinator’s Office to ensure improved coordination, quality, oversight, monitoring and evaluation and strategic communications of the PBF portfolio, as well as to b) to enhance strategic oversight of the PBF portfolio by establishing and supporting the work of a PBF Joint Steering Committee composed of a range of key peacebuilding stakeholders.",https://open.undp.org/projects/01001600,Bosnia and Herzegovina,1036050.0,195064.0,"Budget by year: 2025: $541,525.00; 2024: $489,525.00; 2023: $5,000.00. SDG 16 (Peace, justice, and strong institutions) budget: 2023: $5,000.00; 2024: $489,525.00; 2025: $541,525.00. ",,,16,"Peace, justice, and strong institutions",21,"Structural transformation, including green, inclusive and digital transitions","Digital: Output partially enabled through digital technology; OECD DAC Sector: 152 - Conflict, Peace & Security",2023-12-01,2026-12-01
01001243,none,"This project focuses on creating green jobs through recycling and upcycling enterprises, reducing pollution, and managing solid waste. It does not mention any specific water-related elements or objectives.",Green Job Creation through Recycling and Upcycling in Pokhara Metropolitan City (GCRU),"The “Green Job Creation through Recycling and Upcycling in Pokhara Metropolitan City (GCRU) project” is designed to promote the green economy by establishing recycling/upcycling (RU) enterprises based on the circular economy model, in place of the current throw away approach, thereby increasing green jobs and reducing pollution and environmental impact of solid waste. This objective will be achieved through three interlinked areas of interventions – policy and coordination, promoting of RU enterprises, and empowering communities for increased awareness and community level RU initiatives.",https://open.undp.org/projects/01001243,Nepal,3023357.0,437057.0,"Budget by year: 2025: $1,784,560.00; 2024: $792,000.00; 2023: $446,797.00. SDG 11 (Sustainable cities and communities) budget: 2023: $446,797.00; 2024: $792,000.00; 2025: $1,784,560.00. ",,,11,Sustainable cities and communities,22,Leaving no one behind,"Hows: Capacity Development / Technical Assistance, Policy Advice; Partner: Donor government, Sub-national government; Whos: Minorities (e.g. race, ethnicity, linguistic, religion, etc.), People living in peri-urban areas, People living in slums, People living in urban areas, Unemployed persons; COVID-19 Response: Green economy; Climate: Mitigation Action, Policies and Enabling Environment; Digital: Output partially enabled through digital technology, Output significantly enabled through digital technology; Human Rights: Significant contribution to realization of human rights; Sustaining Peace: Sustaining peace is a significant objective; Innovation: Solution mapping; OECD DAC Sector: 140 - Water Supply & Sanitation, 150 - Government & Civil Society, 998 - Unallocated / Unspecified",2023-09-01,2029-12-31
00148093,none,"The title and description do not mention any water-related aspects such as water supply, sanitation facilities, water resource management, or any other water infrastructure.",ARG22P05 Familias y Comunidades,ARG22P05 Familias y Comunidades,https://open.undp.org/projects/00148093,Argentina,129600.0,111490.0,"Budget by year: 2024: $2,909.00; 2023: $126,691.00. SDG 10 (Reduced inequalities) budget: 2023: $126,691.00; 2024: $2,909.00. ",,,10,Reduced inequalities,22,Leaving no one behind,Digital: Output partially enabled through digital technology; OECD DAC Sector: 160 - Other Social Infrastructure & Services,2023-01-01,2025-12-31
01000655,none,"The project focuses on strengthening the technical and operational capacities of local institutions for disarmament, demobilization, community recovery, and stabilization, with no mention of water-related activities or infrastructure.","Strengthen technical and operational capacities of local institutions to implement the Disarmament, Demobilization, Community Recovery and Stabilization Programme  in North Kivu, South Kivu and Ituri","Ce projet vise à renforcer les capacités techniques et opérationnelles des institutions locales pour mettre en œuvre le Programme de Désarmement, Démobilisation, Relèvement et Stabilisation Communautaire (P-DDRCS) au Nord-Kivu, au Sud-Kivu et en Ituri",https://open.undp.org/projects/01000655,Democratic Republic of Congo,590857.0,476920.0,"Budget by year: 2025: $0.00; 2024: $427,197.00; 2023: $163,660.00. SDG 16 (Peace, justice, and strong institutions) budget: 2023: $163,660.00; 2024: $427,197.00; 2025: $0.00. ",,,16,"Peace, justice, and strong institutions",23,Building resilience,"Digital: No digital technology utilized, Output partially enabled through digital technology; OECD DAC Sector: 152 - Conflict, Peace & Security",2023-01-01,2025-12-31
00147191,none,The project description does not provide any specific information related to water or water management.,Economic and Environmental Resilience,Economic and Environmental Resilience,https://open.undp.org/projects/00147191,Haiti,664000.0,451956.0,"Budget by year: 2024: $285,834.00; 2023: $378,166.00. SDG 1 (No poverty) budget: 2023: $189,083.00; 2024: $142,917.00. SDG 10 (Reduced inequalities) budget: 2023: $189,083.00; 2024: $142,917.00. ",,,"1, 10","No poverty, Reduced inequalities",22,Leaving no one behind,"Hows: Data Collection and Analysis; Partner: WFP; Whos: People living in peri-urban areas, People living in rural areas, People living in urban areas, Persons directly affected by natural disasters; COVID-19 Response: Social protection – uprooting inequalities; Digital: Output significantly enabled through digital technology; Human Rights: Limited contribution to realization of human rights; Sustaining Peace: Not expected to contribute towards sustaining peace; Innovation: Solution mapping; OECD DAC Sector: 160 - Other Social Infrastructure & Services",2023-01-01,2024-12-31
01001104,focused,"The project prominently involves sustainable management of water resources, addressing food and water security, and managing the impacts of floods and droughts, which are directly related to water management and infrastructure.",PIMS 9692 Sustainable management of water and rangeland resour.,"The project objective is to promote food, water and livelihood security in the context of increasing intensity and occurrence of floods and droughts in Djibouti’s Ali Sabieh, Dikhil, Tajdoura and Obock regions. To support community climate resilience, the proposed project will improve national and regional capacity for incorporating ecosystem-based adaptation (EbA) and integrated landscape management into policies and plans. Additionally, an enabling environment will be created for gender-responsive early warning systems (EWS) at the community level to strengthen the capacity of communities to respond to extreme climate events.",https://open.undp.org/projects/01001104,Djibouti,302779.0,299952.0,"Budget by year: 2025: $0.00; 2024: $141,845.00; 2023: $160,934.00. SDG 13 (Climate action) budget: 2023: $160,917.91; 2023: $160,966.19; 2024: $141,830.82; 2024: $141,873.37; 2025: $0.00; 2025: $0.00. ",,,13,Climate action,21,"Structural transformation, including green, inclusive and digital transitions","Hows: Capacity Development / Technical Assistance, Convening / Partnerships / Knowledge Sharing, Innovative Approaches; Whos: People living in peri-urban areas, People living in rural areas, Persons directly affected by natural disasters, Women; Digital: Output partially enabled through digital technology; OECD DAC Sector: 140 - Water Supply & Sanitation",2023-08-01,2024-12-31
